date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1916-11-14 22:31:00,Taiwan,24.0,121.0,,6.0,,0,0,1,0,0,1916,11,14,22:31:00
1917-01-04 16:55:00,Taiwan,21.9,120.9,0.0,6.5,,0,0,54,0,0,1917,1,4,16:55:00
1917-01-21 23:11:00,Indonesia,-7.0,116.0,,6.6,tsunami,0,0,15000,0,0,1917,1,21,23:11:00
1917-01-24 00:48:00,China,31.0,114.0,0.0,6.5,,0,0,0,0,0,1917,1,24,00:48:00
1917-01-31 03:39:00,Philippines,6.0,125.0,,6.4,,0,0,7,0,0,1917,1,31,03:39:00
1917-07-30 23:54:00,China,29.0,104.0,0.0,7.3,,0,0,1879,1800,0,1917,7,30,23:54:00
1917-08-31 11:36:00,Colombia,4.0,-74.0,0.0,7.1,,0,0,0,0,0,1917,8,31,11:36:00
1918-02-13 06:07:00,China,23.54,117.243,15.0,7.2,,0,0,0,10000,0,1918,2,13,06:07:00
1918-04-21 22:32:00,United States,33.812,-117.44,15.0,6.8,,0,0,1,0,0,1918,4,21,22:32:00
1918-08-15 12:18:00,Philippines,5.653,123.563,35.0,8.2,,0,0,0,100,0,1918,8,15,12:18:00
1918-09-07 17:15:00,Russian Federation,46.812,150.253,242.4,7.6,tsunami,0,0,24,0,0,1918,9,7,17:15:00
1918-10-11 14:14:00,Puerto Rico,18.473,-67.631,35.0,7.3,tsunami,0,0,116,116,0,1918,10,11,14:14:00
1919-05-06 19:40:00,Papua New Guinea,-5.477,152.629,232.8,7.6,tsunami,0,0,0,0,0,1919,5,6,19:40:00
1920-06-05 04:21:00,Taiwan,23.813,122.08,35.0,7.9,,0,0,5,0,0,1920,6,5,04:21:00
1920-01-04 04:22:00,Mexico,19.27,-97.08,15.0,6.2,landslide,0,0,0,0,1500,1920,1,4,04:22:00
1920-02-20 11:45:00,Georgia,42.0,44.1,11.0,6.2,,0,0,130,0,0,1920,2,20,11:45:00
1920-09-07 05:55:00,Italy,44.3,10.3,10.0,5.8,,0,0,171,0,0,1920,9,7,05:55:00
1920-12-16 12:05:00,China,36.601,105.317,25.0,8.6,,0,0,235502,180000,0,1920,12,16,12:05:00
1920-12-17 18:59:00,Argentina,-32.7,-68.4,10.0,6.0,,0,0,400,0,0,1920,12,17,18:59:00
1921-08-14 00:00:00,Eritrea,15.61,39.445,,,,0,0,0,0,0,1921,8,14,00:00:00
1921-11-11 18:36:00,Philippines,7.897,127.257,35.0,7.3,,0,0,600,0,0,1921,11,11,18:36:00
1922-04-26 01:11:00,Japan,35.2,139.8,35.0,6.8,,0,0,2,0,0,1922,4,26,01:11:00
1922-09-01 19:16:00,Taiwan,24.506,122.04,35.0,7.5,,0,0,5,0,0,1922,9,1,19:16:00
1922-10-14 23:45:00,Taiwan,24.5,122.0,35.0,6.9,,0,0,6,0,0,1922,10,14,23:45:00
1922-11-11 04:32:00,Chile,-28.553,-70.755,35.0,8.7,tsunami,0,0,1000,1000,0,1922,11,11,04:32:00
1922-12-07 16:50:00,Japan,32.7,130.1,5.0,6.9,,0,0,26,0,0,1922,12,7,16:50:00
