date,year,month,day,time,country,latitude,longitude,depth,magnitude,secondary_effects,deaths,continent,log_deaths
1976-12-13 06:36:00,1976,12,13,06:36:00,China,27.336,101.024,3.4,5.9,,2,Asia,0.6931471805599453
1977-01-01 21:39:00,1977,1,1,21:39:00,China,38.185,91.014,5.3,6.0,,2,Asia,0.6931471805599453
1979-03-15 12:52:00,1979,3,15,12:52:00,China,23.162,101.106,13.5,6.0,,12,Asia,2.4849066497880004
1979-07-09 10:57:00,1979,7,9,10:57:00,China,31.472,119.27,12.6,5.4,,42,Asia,3.7376696182833684
1981-01-23 21:13:00,1981,1,23,21:13:00,China,30.956,101.168,10.9,6.5,,150,Asia,5.0106352940962555
1982-06-15 23:24:00,1982,6,15,23:24:00,China,31.871,99.872,10.3,5.6,,11,Asia,2.3978952727983707
1983-02-13 01:40:00,1983,2,13,01:40:00,China,39.994,75.173,9.0,6.2,,1,Asia,0.0
1983-04-05 06:50:00,1983,4,5,06:50:00,China,39.972,75.215,10.7,5.8,,0,Asia,-inf
1983-11-06 21:09:00,1983,11,6,21:09:00,China,35.223,115.204,32.1,5.5,,45,Asia,3.8066624897703196
1984-05-21 15:37:00,1984,5,21,15:37:00,China,32.604,121.602,43.8,6.0,,13,Asia,2.5649493574615367
1985-03-29 11:15:00,1985,3,29,11:15:00,China,29.35,104.953,35.0,4.9,,2,Asia,0.6931471805599453
1985-04-18 05:52:00,1985,4,18,05:52:00,China,25.891,102.885,4.1,5.7,,23,Asia,3.1354942159291497
1985-08-23 12:41:00,1985,8,23,12:41:00,China,39.447,75.264,4.3,6.9,,71,Asia,4.2626798770413155
1985-09-11 20:45:00,1985,9,11,20:45:00,China,39.356,75.415,21.2,6.1,,4,Asia,1.3862943611198906
1986-08-06 19:55:00,1986,8,6,19:55:00,China,29.28,100.754,10.8,5.3,,2,Asia,0.6931471805599453
1987-08-02 09:07:00,1987,8,2,09:07:00,China,25.002,115.566,11.2,4.9,,3,Asia,1.0986122886681098
1988-11-06 13:03:00,1988,11,6,13:03:00,China,22.909,99.681,6.5,7.0,landslide,748,Asia,6.617402977974478
1988-11-06 13:15:00,1988,11,6,13:15:00,China,23.186,99.411,8.9,6.4,,0,Asia,-inf
1989-04-15 20:34:00,1989,4,15,20:34:00,China,29.955,99.202,13.8,6.4,,11,Asia,2.3978952727983707
1989-05-07 00:38:00,1989,5,7,00:38:00,China,23.538,99.519,25.4,5.6,,1,Asia,0.0
1989-07-21 03:09:00,1989,7,21,03:09:00,China,30.001,99.362,5.9,5.6,,3,Asia,1.0986122886681098
1989-09-22 02:25:00,1989,9,22,02:25:00,China,31.555,102.422,10.9,6.1,,1,Asia,0.0
1989-10-18 14:57:00,1989,10,18,14:57:00,China,39.959,113.94,5.6,5.4,,29,Asia,3.367295829986474
1989-10-18 17:01:00,1989,10,18,17:01:00,China,40.014,113.933,4.5,5.6,,17,Asia,2.833213344056216
1989-11-20 03:21:00,1989,11,20,03:21:00,China,29.88300000000001,106.826,24.7,5.2,,7,Asia,1.9459101490553132
1990-02-09 17:57:00,1990,2,9,17:57:00,China,31.745,120.982,11.9,5.0,,2,Asia,0.6931471805599453
1990-04-26 09:37:00,1990,4,26,09:37:00,China,36.059,100.278,9.3,6.2,,126,Asia,4.836281906951478
1990-04-26 09:37:00,1990,4,26,09:37:00,China,36.059,100.278,9.3,6.4,landslide,126,Asia,4.836281906951478
1990-10-20 08:07:00,1990,10,20,08:07:00,China,37.096,103.718,8.0,5.7,,2,Asia,0.6931471805599453
1991-03-25 18:02:00,1991,3,25,18:02:00,China,39.947,113.989,15.0,5.4,,1,Asia,0.0
1992-12-18 11:21:00,1992,12,18,11:21:00,China,26.32800000000001,100.752,21.8,5.0,,1,Asia,0.0
1993-01-31 19:33:00,1993,1,31,19:33:00,China,25.826,101.415,25.0,4.7,,2,Asia,0.6931471805599453
1993-02-02 16:05:00,1993,2,2,16:05:00,China,42.2,86.14399999999998,32.0,5.7,,4,Asia,1.3862943611198906
1993-03-20 14:51:00,1993,3,20,14:51:00,China,29.009,87.35600000000002,14.1,6.2,,2,Asia,0.6931471805599453
1993-11-30 20:37:00,1993,11,30,20:37:00,China,39.326,75.505,12.7,5.6,,2,Asia,0.6931471805599453
1995-07-21 22:44:00,1995,7,21,22:44:00,China,36.436,103.166,7.4,5.6,,14,Asia,2.6390573296152584
1995-10-23 22:46:00,1995,10,23,22:46:00,China,25.947,102.22,14.7,6.2,,81,Asia,4.394449154672439
1996-02-03 11:14:00,1996,2,3,11:14:00,China,27.271,100.262,12.2,6.6,,322,Asia,5.7745515455444085
1996-03-19 15:00:00,1996,3,19,15:00:00,China,40.043,76.62100000000002,18.9,6.3,,26,Asia,3.258096538021482
1996-05-03 03:32:00,1996,5,3,03:32:00,China,40.777,109.713,24.5,6.0,,26,Asia,3.258096538021482
1996-09-24 19:24:00,1996,9,24,19:24:00,China,27.212,100.332,8.2,5.5,,1,Asia,0.0
1997-01-21 01:48:00,1997,1,21,01:48:00,China,39.536,76.87899999999998,15.0,5.9,,12,Asia,2.4849066497880004
1997-03-01 06:04:00,1997,3,1,06:04:00,China,39.45,76.817,19.3,5.6,,2,Asia,0.6931471805599453
1997-04-05 23:46:00,1997,4,5,23:46:00,China,39.525,76.83,15.0,5.9,,9,Asia,2.1972245773362196
1997-04-11 05:34:00,1997,4,11,05:34:00,China,39.536,76.892,20.0,6.1,,9,Asia,2.1972245773362196
1998-01-10 03:50:00,1998,1,10,03:50:00,China,41.137,114.523,5.0,5.7,fire,70,Asia,4.248495242049359
1998-08-27 09:03:00,1998,8,27,09:03:00,China,39.572,77.298,28.0,6.3,,3,Asia,1.0986122886681098
1998-11-19 11:38:00,1998,11,19,11:38:00,China,27.263,100.955,4.8,5.6,landslide,6,Asia,1.791759469228055
