date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths
1927-08-24 18:09,Taiwan,23.118,120.237,35.0,6.8 Muk,,0,0,11,0,0
1928-03-22 04:17,Mexico,16.127,-96.505,35.0,7.5 Mw,T,0,0,0,0,0
1928-03-31 00:29,Turkey,38.1,27.1,,6.5 Muk,,0,0,170,0,0
1928-04-09 17:34,Peru,-13.731,-70.628,35.0,6.8 Ms,,0,0,10,0,0
1928-04-14 09:00,Bulgaria,42.402,25.667,15.0,6.8 Muk,,0,0,107,107,0
1928-04-18 19:22,Bulgaria,42.386,25.087,15.0,6.8 Muk,,0,0,103,0,0
1928-05-14 22:14,Peru,-5.261,-78.559,35.0,7.2 Mw,,0,0,29,0,0
1928-08-21 19:01,Iran,37.3,57.9,9.0,5.4 Muk,,0,0,10,0,0
1928-12-01 04:06,Chile,-35.086,-71.683,35.0,7.7 Mw,T,0,0,225,0,0
1928-12-19 11:37,Philippines,6.977,124.856,35.0,7.3 Mw,T,0,0,93,0,0
1929-01-17 11:45,Venezuela,9.499,-64.381,35.0,6.9 Muk,T,0,0,0,0,0
1929-05-01 15:37,Turkmenistan (see 1929 Koppeh Dagh earthquake),37.957,57.693,25.0,7.1 Mw,,0,0,3257,3300,0
1929-05-18 06:37,Turkey,40.2,37.9,10.0,6.5 Muk,,0,0,64,0,0
1929-05-30 09:43,Argentina,-34.768,-67.598,35.0,6.8 Muk,,0,0,52,0,0
1929-06-16 22:47,New Zealand (see 1929 Murchison earthquake),-41.831,172.292,35.0,7.5 Mw,T,0,0,17,0,0
1929-07-13 07:36,Iran,37.5,58.0,57.0,5.8 Muk,,0,0,5,0,0
1929-10-19 10:12,Chile,-23.038,-68.737,35.0,7.4 mb,,0,0,0,0,0
1929-11-18 20:32,Saint Pierre and Miquelon (see 1929 Grand Banks earthquake),44.539,-56.008,15.0,7.3 Muk,T,0,0,52,0,0
1930-05-05 13:45,Burma,17.665,96.543,35.0,7.2 Mw,"T,F",0,0,550,500,0
1930-05-06 22:34,Iran (see 1930 Salmas earthquake),38.152,44.685,25.0,7.1 Mw,,0,0,2514,2500,0
1930-05-14 19:48,China,26.8,103.0,,6.0 Muk,,0,0,42,0,0
1930-07-23 00:08,Italy (see 1930 Irpinia earthquake),41.05,15.367,,6.6 Muk,,0,0,0,0,1404
1930-10-30 07:13,Italy,43.75,13.5,,6.0 Muk,,0,0,18,0,0
1930-11-21 02:00,Albania,40.5,19.5,12.0,6.0 Muk,,0,0,35,0,0
1930-11-25 19:02,Japan,34.977,139.103,35.0,6.9 Mw,,0,0,272,0,0
1930-12-02 13:29,Albania,40.3,19.6,4.0,5.0 Muk,,0,0,25,0,0
1930-12-03 18:51,Burma,17.972,96.422,35.0,7.3 Mw,,0,0,22,36,0
1930-12-08 08:01,Taiwan,23.2,120.6,,6.3 Muk,,0,0,4,0,0
1930-12-24 06:02,Argentina,-24.7,-66.3,30.0,6.0 Muk,,0,0,36,0,0
1930-12-25 19:03,Japan,35.1,133.0,5.0,7.0 Muk,,0,0,272,0,0
1931-01-15 01:50,Mexico,16.053,-96.614,35.0,7.8 Mw,,0,0,68,0,0
1931-02-02 22:46,New Zealand (see 1931 Hawke's Bay earthquake),-39.772,176.025,35.0,7.7 Mw,T,0,0,256,256,0
1931-02-10 06:34,Indonesia,-5.433,102.458,35.0,7.1 Mw,,0,0,18,0,0
1931-03-08 01:50,Kingdom of Yugoslavia,41.337,22.666,25.0,6.8 Muk,,0,0,35,0,0
1931-03-31 16:02,Nicaragua (see 1931 Nicaragua earthquake),13.2,-85.7,,5.6 Muk,F,0,0,1000,0,0
1931-04-27 16:50,Armenia,39.2,46.0,22.0,6.3 Muk,,0,0,390,0,0
1931-06-07 01:30,England (see 1931 Dogger Bank earthquake),54.08,1.5,,6.1 Muk,,0,0,0,0,1
1931-08-10 21:18,China (see 1931 Fuyun earthquake),46.571,89.965,35.0,7.9 Mw,,0,0,10000,0,0
1931-08-27 15:27,Pakistan,29.473,67.172,35.0,7.1 Mw,,0,0,200,0,0
1931-09-21 02:20,Japan,36.021,139.381,35.0,6.8 Muk,,0,0,16,0,0
1931-10-03 19:13,Solomon Islands,-10.932,161.016,35.0,7.8 Mw,T,0,0,50,0,0
1931-11-02 10:03,Japan,32.003,131.945,42.2,7.5 Mw,T,0,0,1,0,0
1932-02-03 06:16,Cuba,19.77,-75.85,25.0,6.8 Muk,,0,0,8,0,0
1932-03-14 22:42,Venezuela,8.149,-71.974,35.0,6.8 Muk,,0,0,6,0,0
1932-04-06 09:11,China,31.4,115.0,15.0,6.0 Muk,,0,0,6,0,0
1932-05-14 13:11,Indonesia,0.258,126.169,35.0,8.1 Mw,,0,0,5,6,0
1932-05-21 10:10,Nicaragua,12.364,-87.894,35.0,6.9 Muk,,0,0,10,0,0
1932-06-03 10:36,Mexico (1932 Jalisco earthquakes),19.457,-104.146,25.0,7.9 Mw,T,0,0,60,0,0
1932-06-18 10:12,Mexico,19.452,-103.632,54.3,7.9 Mw,T,0,0,52,0,0
1932-06-22 12:59,Mexico,19.028,-104.379,25.0,6.9 Muk,T,0,0,75,0,0
1932-09-26 19:20,Greece (see 1932 Ierissos earthquake),40.333,23.732,35.0,6.9 Muk,T,0,0,491,0,0
1932-12-25 02:04,China (see 1932 Changma earthquake),39.771,96.69,25.0,7.6 Mw,,0,0,275,0,0
1933-03-02 17:31,Japan (see 1933 Sanriku earthquake),39.224,144.622,35.0,8.4 Muk,T,0,0,3064,3008,0
1933-03-11 01:55,United States (see 1933 Long Beach earthquake),33.63,-118.0,,6.4 Mw,,0,0,0,0,120
1933-04-23 05:57,Greece,36.516,27.15,35.0,6.8 Muk,,0,0,74,0,0
1933-06-24 21:54,Indonesia,-5.522,104.434,35.0,7.3 Mw,,0,0,76,0,0
1933-08-25 07:50,China (see 1933 Diexi earthquake),31.81,103.541,25.0,7.3 Mw,,0,0,6865,0,0
1933-11-28 11:09,Iran,32.1,56.0,27.0,6.3 Muk,,0,0,4,0,0
1934-01-12 13:31,China,23.7,102.7,,6.0 Muk,,0,0,1,0,0
1934-01-15 08:43,Nepal (see 1934 Nepal–Bihar earthquake),26.773,86.762,35.0,8.1 Muk,,0,0,10700,6000,0
1935-01-04 14:41,Turkey (see 1935 Erdek–Marmara Islands earthquake),40.5,27.5,7.0,6.2 Muk,,0,0,5,0,0
1935-02-25 02:51,Greece,36.084,24.703,35.0,6.8 Muk,,0,0,0,0,0
1935-03-05 10:27,Iran,36.3,53.3,,6.0 Muk,,0,0,60,0,0
1935-04-11 23:14,Iran,36.432,53.621,35.0,6.8 Muk,,0,0,500,0,0
1935-04-20 22:02,Taiwan (see 1935 Shinchiku-Taichū earthquake),24.364,120.613,35.0,7.1 Ms,,0,0,3276,3410,0
1935-04-28 00:00,China,29.4,102.3,,6.0 Muk,,0,0,2,0,0
1935-05-01,Turkey (see 1935 Digor earthquake),40.38,43.41,7.0,6.2 Muk,,0,0,0,0,200
1935-05-30 21:32,Pakistan (see 1935 Quetta earthquake),28.894,66.176,35.0,8.1 Mw,,0,0,60000,60000,0
1935-07-11 18:35,Japan,35.0,138.0,10.0,6.3 Muk,,0,0,9,0,0
1936-01-09 09:23,Colombia,1.1,-77.6,,7.0 Muk,,0,0,250,0,0
1936-02-07 08:56,China,35.633,103.265,25.0,6.8 Muk,,0,0,42,0,0
1936-04-26 23:59,China,28.733,103.497,25.0,6.8 Muk,,0,0,0,0,0
1936-05-16 07:05,China,28.675,103.684,25.0,6.8 Muk,,0,0,550,0,0
1936-08-01 06:24,China,34.2,105.7,,6.0 Muk,,0,0,144,0,0
