city,state,county_name,latitude,longitude,population,density,source,zips
Lake Tansi,Tennessee,Cumberland,35.8706,-85.0617,4343.0,196.0,polygon,38572
Pleasant View,Tennessee,Cheatham,36.3893,-87.0455,4310.0,147.0,polygon,37146
Oneida,Tennessee,Scott,36.5172,-84.5104,4267.0,153.0,polygon,37841
Louisville,Tennessee,Blount,35.8246,-84.0552,4141.0,107.0,polygon,37777
Etowah,Tennessee,McMinn,35.3381,-84.5282,4133.0,477.0,polygon,37331
New Tazewell,Tennessee,Claiborne,36.4381,-83.6053,4116.0,207.0,polygon,37825 37824
Tiptonville,Tennessee,Lake,36.387,-89.4677,3971.0,753.0,polygon,38079
Dunlap,Tennessee,Sequatchie,35.3675,-85.3899,3967.0,184.0,polygon,37327
Gatlinburg,Tennessee,Sevier,35.725,-83.4938,3860.0,143.0,polygon,37738
Huntingdon,Tennessee,Carroll,36.0052,-88.4181,3835.0,125.0,polygon,38344
Trenton,Tennessee,Gibson,35.9689,-88.9449,3775.0,200.0,polygon,38382
Mount Pleasant,Tennessee,Maury,35.5484,-87.1872,3765.0,150.0,polygon,38401 38474
Selmer,Tennessee,McNairy,35.1708,-88.5955,3747.0,173.0,polygon,38375
Hohenwald,Tennessee,Lewis,35.5515,-87.5539,3679.0,279.0,polygon,38462
White Bluff,Tennessee,Dickson,36.1002,-87.2113,3653.0,232.0,polygon,37187
Colonial Heights,Tennessee,Sullivan,36.4852,-82.507,3642.0,369.0,polygon,37663
Camden,Tennessee,Benton,36.0663,-88.1046,3602.0,246.0,polygon,38320
Unicoi,Tennessee,Unicoi,36.2217,-82.3293,3594.0,85.0,polygon,37692
Ashland City,Tennessee,Cheatham,36.2607,-87.0412,3552.0,172.0,polygon,37015
Centerville,Tennessee,Hickman,35.8042,-87.4577,3540.0,127.0,polygon,37033
Livingston,Tennessee,Overton,36.3875,-85.3265,3477.0,240.0,polygon,38570
Jasper,Tennessee,Marion,35.0664,-85.6228,3448.0,135.0,polygon,37347
Oliver Springs,Tennessee,Roane,36.0398,-84.3284,3414.0,228.0,polygon,37840
Wildwood Lake,Tennessee,Bradley,35.0893,-84.8513,3400.0,109.0,polygon,37323
Carthage,Tennessee,Smith,36.2566,-85.943,3327.0,311.0,polygon,37030
Newbern,Tennessee,Dyer,36.1169,-89.2713,3292.0,280.0,polygon,38059
Waverly,Tennessee,Humphreys,36.0939,-87.7846,3277.0,183.0,polygon,37185
White Pine,Tennessee,Jefferson,36.1087,-83.297,3269.0,329.0,polygon,37890
Somerville,Tennessee,Fayette,35.2352,-89.3869,3264.0,92.0,polygon,38068
Christiana,Tennessee,Rutherford,35.7204,-86.4109,3237.0,157.0,polygon,37037 37128
