"accident_number","date_and_time","number_of_motor_vehicles","number_of_injuries","number_of_fatalities","property_damage","hit_and_run","reporting_officer","collision_type","collision_type_description","weather","weather_description","illuaccidemination","illumination_description","harmfulcodes","harmfuldescriptions","street_address","city","state","zip","rpa","precinct","lat","long","mapped_location"
"20200641655","2020-10-09T20:50:00.000","2","1","0",,"false","306230","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 86 0 I 65","NASHVILLE","TN","37208","4304","CENTRA","36.1916","-86.7859","POINT (-86.7859 36.1916)"
"20200641640","2020-10-09T21:05:00.000","1","1","0",,"false","279211","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"2","DARK - NOT LIGHTED","42","TREE","HUNTERS LN & GRANDVILLE BLVD","NASHVILLE","TN","37207","2103","MADISO","36.2875","-86.7703","POINT (-86.7703 36.2875)"
"20200641634","2020-10-09T18:15:00.000","2","0","0",,"false","524985","11","Front to Rear",,,"5","DUSK","12","MOTOR VEHICLE IN TRANSPORT","BRILEY PKWY W EXT RAMP & BRICK CHURCH PK","NASHVILLE","TN","37207","2033","MADISO","36.2397","-86.7808","POINT (-86.7808 36.2397)"
"20200641618","2020-10-09T19:51:00.000","2","1","0",,"false","330428","11","Front to Rear","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 54 6 I 24","NASHVILLE","TN","37211","84021","SOUTH","36.0994","-86.7109","POINT (-86.7109 36.0994)"
"20200641585","2020-10-09T20:30:00.000","2","0","0",,"true","352168","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","2","DARK - NOT LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","BELL RD & CANE RIDGE RD","ANTIOCH","TN","37013","8753","SOUTH","36.0449","-86.6631","POINT (-86.6631 36.0449)"
"20200641541","2020-10-09T18:46:00.000","2","0","0",,"false","409161","11","Front to Rear","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MOUNT VIEW RD & BELL FORGE LN E","ANTIOCH","TN","37013","8865","SOUTH","36.0471","-86.648","POINT (-86.648 36.0471)"
"20200641536","2020-10-09T19:29:00.000","2","0","0",,"false","384425","11","Front to Rear",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","CLARKSVILLE PKE & NORTH GATE SHOPPING CT","NASHVILLE","TN","37218","3163","NORTH","36.2004","-86.8392","POINT (-86.8392 36.2004)"
"20200641493","2020-10-09T19:20:00.000","2","1","0",,"false","384407","11","Front to Rear","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","CHARLOTTE PKE & I40 E EXT RAMP","NASHVILLE","TN","37205","5007","WEST","36.1314","-86.8967","POINT (-86.8967 36.1314)"
"20200641459","2020-10-09T19:14:00.000","1","1","0",,"false","161939","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","18","OTHER OBJECT (NOT FIXED)","I24 W ENT RAMP & I 65","NASHVILLE","TN","37207","18041","EAST","36.2216","-86.7738","POINT (-86.7738 36.2216)"
"20200641371","2020-10-09T18:22:00.000","3","1","0","true","false","390077","5","SIDESWIPE - SAME DIRECTION",,,"3","DARK - LIGHTED","12;14;19","MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;BUILDING","GALLATIN PKE & E TRINITY LN","NASHVILLE","TN","37216","1837","EAST","36.205","-86.7376","POINT (-86.7376 36.205)"
